model,query,rank,poi_id,name,type,city,relevant
LaBSE,Scenic walking routes,7,12288923397,Улица Вострухина,node,Москва,1
LaBSE,Scenic walking routes,8,12191291676,Уральская улица,node,Москва,1
LaBSE,Scenic walking routes,9,12209895112,Улица Новотетёрки,node,Москва,1
LaBSE,Scenic walking routes,10,12069838895,Переход Суворова через Альпы в 1799 году,node,Санкт-Петербург,0
LaBSE,Architectural landmarks,1,5798720527,Въездной обелиск,node,Москва,,1
LaBSE,Architectural landmarks,2,1067164071,В честь украинско-российской дружбы,node,Москва,1
LaBSE,Architectural landmarks,3,474950054,Музей истории Екатеринбурга,node,Екатеринбург,1
LaBSE,Architectural landmarks,4,11449150163,Арбатская площадь,node,Москва,1
LaBSE,Architectural landmarks,5,583204619,Нулевой километр,node,Москва,1
LaBSE,Architectural landmarks,6,4754436187,А. А. Ахматовой,node,Москва,1
LaBSE,Architectural landmarks,7,5104148025,Гид по Хельсинки,node,Санкт-Петербург,0
LaBSE,Architectural landmarks,8,9807346712,История района Митино,node,Москва,1
LaBSE,Architectural landmarks,9,4658944521,Героям фильма «Офицеры»,node,Москва,1
LaBSE,Architectural landmarks,10,11510705263,Архитектор А. М. Горностаев,node,Санкт-Петербург,1
LaBSE,Family-friendly attractions,1,7923627585,Пиковый перекрёсток,node,Санкт-Петербург,0
LaBSE,Family-friendly attractions,2,973479676,Пуп,node,Екатеринбург,0
LaBSE,Family-friendly attractions,3,10007992311,Мини-зоопарк при конном клубе в Орловском парке,node,Санкт-Петербург,1
LaBSE,Family-friendly attractions,4,3688401263,«Шалаш» — Сестрорецк,node,Санкт-Петербург,1
LaBSE,Family-friendly attractions,5,1396565741,Загородный образовательно-оздоровительный центр «Академия»,node,Санкт-Петербург,1
LaBSE,Family-friendly attractions,6,10247274522,Информационно-туристский центр Ленинградской области,node,Санкт-Петербург,1
LaBSE,Family-friendly attractions,7,4349017124,Карта острова Котлин,node,Санкт-Петербург,0
LaBSE,Family-friendly attractions,8,12041650873,"Некоммерческий Зоопарк ""Элафион""",node,Санкт-Петербург,1
LaBSE,Family-friendly attractions,9,5935898336,Весна красна,node,Санкт-Петербург,1
LaBSE,Family-friendly attractions,10,8002372982,Калиновка Trail bike park,node,Екатеринбург,1
LaBSE,Outdoor sports facilities,1,2058601899,Спортивный-клуб Action-force,node,Санкт-Петербург,1
LaBSE,Outdoor sports facilities,2,10006280353,"Стрелковый клуб ""Выстрел""",node,Москва,1
LaBSE,Outdoor sports facilities,3,10006280354,"Стрелковый клуб ""Выстрел""",node,Москва,1
LaBSE,Outdoor sports facilities,4,12061002344,Время детям,node,Казань,1
LaBSE,Outdoor sports facilities,5,6387509510,Школа закаливания и зимнего плавания «Наука»,node,Москва,1
LaBSE,Outdoor sports facilities,6,1995722972,Уральский центр кинезиотерапии,node,Екатеринбург,0
LaBSE,Outdoor sports facilities,7,2137076243,Уральский центр кинезиотерапии,node,Екатеринбург,0
LaBSE,Outdoor sports facilities,8,8570499714,"Спортивная школа № 75 ""Савеловская""",node,Москв,1а
LaBSE,Outdoor sports facilities,9,7197421413,ФизКульт Бурнаковский,node,Нижний Новгород,1
LaBSE,Outdoor sports facilities,10,1615849519,«Павловчанин» молодежно-подростковый клуб,node,Санкт-Петербург,1
LaBSE,Live music venues,1,11062159557,Пространство звука,node,Казань,1
LaBSE,Live music venues,2,3116114788,"Концертный зал ""Под сводами""",node,Москва,1
LaBSE,Live music venues,3,8638112141,Это винил,node,Москва,1
LaBSE,Live music venues,4,2429119910,Звуковой барьер,node,Москва,1
LaBSE,Live music venues,5,12449719178,На одной волне,node,Москва,1
LaBSE,Live music venues,6,4977568534,Виниломания,node,Москва,1
LaBSE,Live music venues,7,4804794308,"Культурно-деловой центр молодёжи ""Марьино""",node,Москва,1
LaBSE,Live music venues,8,5159280726,Караоке бар Мелодия,node,Санкт-Петербург,1
LaBSE,Live music venues,9,4272128589,Северная лира,node,Санкт-Петербург,1
LaBSE,Live music venues,10,1770434372,Перекрёсток джаза,node,Казань,1
LaBSE,Nightlife bars,1,11358288692,Мидийные личности,node,Санкт-Петербург,1
LaBSE,Nightlife bars,2,8078781317,Нэо Вэйв Бар,node,Санкт-Петербург,1
LaBSE,Nightlife bars,3,10804761982,На волне,node,Екатеринбург,1
LaBSE,Nightlife bars,4,1836925360,Вчера и навсегда,node,Санкт-Петербург,1
LaBSE,Nightlife bars,5,4347097589,Люблю,node,Санкт-Петербург,1
LaBSE,Nightlife bars,6,9660884513,НСБ - Не совсем секретный бар,node,Екатеринбург,1
LaBSE,Nightlife bars,7,3797172795,Анонимное общество усердных дегустаторов,node,Санкт-Петербург,1
LaBSE,Nightlife bars,8,11301408980,Наденька,node,Санкт-Петербург,1
LaBSE,Nightlife bars,9,11811990770,Алкмаркет,node,Санкт-Петербург,1
LaBSE,Nightlife bars,10,11328403250,День сурка,node,Санкт-Петербург,1
LaBSE,Street food markets,1,8950592420,Новая площадь,node,Москва,0
LaBSE,Street food markets,2,3887492858,Рижский рынок,node,Москва,1
LaBSE,Street food markets,3,1253948759,"Ярмарка ""Московские сезоны""",node,Москва,1
LaBSE,Street food markets,4,11057578594,"Ярмарка ""Московские сезоны""",node,Москва,1
LaBSE,Street food markets,5,8852154733,Первому субботнику,node,Москва,0
LaBSE,Street food markets,6,9853204061,Малая Сухаревская площадь,node,Москва,0
LaBSE,Street food markets,7,1722580982,Магазин купцов Елисеевых,node,Санкт-Петербург,1
LaBSE,Street food markets,8,4948144641,Кудринская площадь,node,Москва,0
LaBSE,Street food markets,9,2468882311,Новая Третьяковка,node,Москва,0
LaBSE,Street food markets,10,2749608160,Подвалъ бродячей собаки,node,Санкт-Петербург,0
LaBSE,Boat tours,1,2117942027,Вода - это жизнь,node,Санкт-Петербург,1
LaBSE,Boat tours,2,9961754793,Волшебная миля,node,Санкт-Петербург,0
LaBSE,Boat tours,3,3688401263,«Шалаш» — Сестрорецк,node,Санкт-Петербург,0
LaBSE,Boat tours,4,11775031514,Стрельнинская бухта,node,Санкт-Петербург,1
LaBSE,Boat tours,5,8703661611,Береза-оракул,node,Москва,0
LaBSE,Boat tours,6,4349017124,Карта острова Котлин,node,Санкт-Петербург,0
LaBSE,Boat tours,7,8911667412,Адольфова гора,node,Санкт-Петербург,0
LaBSE,Boat tours,8,12382223234,ЖБОТ S-17,node,Санкт-Петербург,0
LaBSE,Boat tours,9,6871992265,Я люблю Бибирево,node,Москва,0
LaBSE,Boat tours,10,10247274522,Информационно-туристский центр Ленинградской области,node,Санкт-Петербург,1
LaBSE,Modern art installations,1,3195426485,А. П. Чехову,node,Москва,1
LaBSE,Modern art installations,2,4754436187,А. А. Ахматовой,node,Москва,1
LaBSE,Modern art installations,3,3517514902,Музей-квартира А. И. Куинджи,node,Санкт-Петербург,1
LaBSE,Modern art installations,4,2474529847,Памятник Майклу Джексону,node,Екатеринбург,1
LaBSE,Modern art installations,5,12290708522,Леонид Николаевич Андреев,node,Санкт-Петербург,1
LaBSE,Modern art installations,6,2585233691,А. И. Герцену,node,Москва,1
LaBSE,Modern art installations,7,8898082926,Н. И. и С. И. Вавиловым,node,Москва,1
LaBSE,Modern art installations,8,10980650400,Гостиница Эрмитаж,node,Екатеринбург,1
LaBSE,Modern art installations,9,1711793873,И. А. Крылов,node,Санкт-Петербург,1
LaBSE,Modern art installations,10,9937001872,План ГОЭЛРО,node,Нижний Новгород,1
LaBSE,Botanical gardens,1,6871992265,Я люблю Бибирево,node,Москва,0
LaBSE,Botanical gardens,2,6691173034,Растения участка «Болото»,node,Санкт-Петербург,1
LaBSE,Botanical gardens,3,2343071131,Воронья гора,node,Санкт-Петербург,1
LaBSE,Botanical gardens,4,10744338983,Каменный цветок,node,Санкт-Петербург,1
LaBSE,Botanical gardens,5,681297120,Карта Юнтоловского заказника,node,Санкт-Петербург,0
LaBSE,Botanical gardens,6,681297273,Карта Юнтоловского заказника,node,Санкт-Петербург,0
LaBSE,Botanical gardens,7,9393061360,"Национальный парк ""Лосиный Остров""",node,Москва,1
LaBSE,Botanical gardens,8,9496215906,"Национальный парк ""Лосиный Остров""",node,Москва,1
LaBSE,Botanical gardens,9,9367014413,"Тропа Здоровья ""Уфимские липы""",node,Уфа,1
LaBSE,Botanical gardens,10,6712690791,Оранжевый Рай,node,Москва,1
LaBSE,Museums with interactive exhibits,1,3328712097,ЛабиринтУм,node,Санкт-Петербург,1
LaBSE,Museums with interactive exhibits,2,12153910621,Зоологический музей,node,Санкт-Петербург,1
LaBSE,Museums with interactive exhibits,3,3502676039,Научно-художественный музей коневодства,node,Москва,1
LaBSE,Museums with interactive exhibits,4,3518920451,Музей истории школы Карла Мая,node,Санкт-Петербург,1
LaBSE,Museums with interactive exhibits,5,3206046372,Музей уникальных кукол,node,Москва,1
LaBSE,Museums with interactive exhibits,6,979037130,Новый музей,node,Санкт-Петербург,1
LaBSE,Museums with interactive exhibits,7,2407188222,Росфото,node,Санкт-Петербург,1
LaBSE,Museums with interactive exhibits,8,3517542114,Научно-исследовательский музей Российской академии художеств,node,Санкт-Петербург,1
LaBSE,Museums with interactive exhibits,9,5332088685,"Музей-квартира актерской семьи М. В., А. А. Мироновых — А. С. Менакера",node,Москва,1
LaBSE,Museums with interactive exhibits,10,3437732377,Музей воды,node,Москва,1
LaBSE,Historic cathedrals,1,11164842405,Форты Кронштадта,node,Санкт-Петербург,1
LaBSE,Historic cathedrals,2,12088756870,Кронштадтская крепостная железная дорога,node,Санкт-Петербург,1
LaBSE,Historic cathedrals,3,10098341408,Я люблю форт Константин,node,Санкт-Петербург,1
LaBSE,Historic cathedrals,4,10093530939,Грунтовый могильник и селище у церкви Петра и Павла,node,Москва,1
LaBSE,Historic cathedrals,5,1632497619,Эрато,node,Санкт-Петербург,0
LaBSE,Historic cathedrals,6,10929045506,План исторических захоронений Казанского кладбища,node,Санкт-Петербург,1
LaBSE,Historic cathedrals,7,891629579,могила архиепископа Никифора Феотокиса,node,Москва,1
LaBSE,Historic cathedrals,8,1943120512,Открытая позиция ПТО K-180,node,Санкт-Петербург,1
LaBSE,Historic cathedrals,9,10091826459,Курган (Узкое-1),node,Москва,1
LaBSE,Historic cathedrals,10,4948952115,Кронштадт - Город воинской славы,node,Санкт-Петербург,1
LaBSE,Science museums,1,10572977039,Мемориальный музей-квартира Тимирязева Климента Аркадьевича,node,Москва,1
LaBSE,Science museums,2,6061084594,Музей археологии Москвы,node,Москва,1
LaBSE,Science museums,3,288506766,Государственный Дарвиновский музей,node,Москва,1
LaBSE,Science museums,4,1808680328,Музей науки «Нижегородская радиолаборатория»,node,Нижний Новгород,1
LaBSE,Science museums,5,4280524655,Научная педагогическая библиотека им. К.Д. Ушинского,node,Москва,0
LaBSE,Science museums,6,12154936086,Кабинет-музей Н. И. Вавилова,node,Санкт-Петербург,1
LaBSE,Science museums,7,3325191509,Музей русской гармоники А. Мирека,node,Москва,1
LaBSE,Science museums,8,5247522109,"Учёным, создавшим первые советские ракеты ГИРД",node,Москва,0
LaBSE,Science museums,9,9193049584,Я люблю Ясенево!,node,Москва,0
LaBSE,Science museums,10,12669675677,Научная библиотека им. Н. И. Лобачевского,node,Казань,0
LaBSE,Children's playgrounds,1,962979702,Двойняшки,node,Москва,1
LaBSE,Children's playgrounds,2,1836837355,"Детский подростковый клуб ""Радуга""",node,Екатеринбург,1
LaBSE,Children's playgrounds,3,4523709059,"Детский досуговый центр ""Аист""",node,Москва,1
LaBSE,Children's playgrounds,4,5742856152,КидСпейс,node,Казань,1
LaBSE,Children's playgrounds,5,611052812,Ваш малыш,node,Екатеринбург,1
LaBSE,Children's playgrounds,6,7201747786,Взгляд ребёнка,node,Москва,1
LaBSE,Children's playgrounds,7,5021717098,"Детский центр ""Фантазия""",node,Москва,1
LaBSE,Children's playgrounds,8,10709241332,Мир игрушки,node,Нижний Новгород,1
LaBSE,Children's playgrounds,9,2149954658,Сказочная страна,node,Екатеринбург,1
LaBSE,Children's playgrounds,10,1446113085,Центр эстетического воспитания «В Коломне»,node,Санкт-Петербург,1
LaBSE,Rooftop bars,1,6579689802,PortBAR craft beer,node,Нижний Новгород,1
LaBSE,Rooftop bars,2,8748386418,"Гастропаб ""Горьковская пивоварня""",node,Нижний Новгород,1
LaBSE,Rooftop bars,3,2285666504,Бакинский бульвар,node,Москва,0
LaBSE,Rooftop bars,4,8818387699,Новое пространство,node,Москва,0
LaBSE,Rooftop bars,5,4288630770,Посторонним В.,node,Москва,1
LaBSE,Rooftop bars,6,11909516827,Высокий градус,node,Казань,1
LaBSE,Rooftop bars,7,5159280726,Караоке бар Мелодия,node,Санкт-Петербург,1
LaBSE,Rooftop bars,8,5642207624,Волковская пивоварня,node,Москва,1
LaBSE,Rooftop bars,9,4379471180,Бродвей,node,Санкт-Петербург,1
LaBSE,Rooftop bars,10,2360254906,Лео клуб,node,Санкт-Петербург,1
LaBSE,Vegan restaurants,1,9786812750,Византия лаунж,node,Казань,1
LaBSE,Vegan restaurants,2,8353759717,Хорошая девочка,node,Москва,1
LaBSE,Vegan restaurants,3,11594915080,Ваби Саби,node,Москва,1
LaBSE,Vegan restaurants,4,2285666504,Бакинский бульвар,node,Москва,1
LaBSE,Vegan restaurants,5,5642207624,Волковская пивоварня,node,Москва,1
LaBSE,Vegan restaurants,6,4288630770,Посторонним В.,node,Москва,1
LaBSE,Vegan restaurants,7,4223734917,Винный базар,node,Москва,1
LaBSE,Vegan restaurants,8,10310798742,Восточный двор,node,Санкт-Петербург,1
LaBSE,Vegan restaurants,9,2496085397,Вкусные сезоны,node,Москва,1
LaBSE,Vegan restaurants,10,10263479155,Музей рециклинга и экологичного образа жизни,node,Москва,0
LaBSE,Cultural festivals,1,2494989015,Литературный музей Г. Тукая,node,Казань,1
LaBSE,Cultural festivals,2,1253948759,"Ярмарка ""Московские сезоны""",node,Москва,1
LaBSE,Cultural festivals,3,11057578594,"Ярмарка ""Московские сезоны""",node,Москва,1
LaBSE,Cultural festivals,4,3993588657,Пиотровский,node,Екатеринбург,1
LaBSE,Cultural festivals,5,2947296723,Загадки Шурале,node,Казань,1
LaBSE,Cultural festivals,6,2749608160,Подвалъ бродячей собаки,node,Санкт-Петербург,1
LaBSE,Cultural festivals,7,474949599,Свердловский областной краеведческий музей,node,Екатеринбург,1
LaBSE,Cultural festivals,8,2468882311,Новая Третьяковка,node,Москва,1
LaBSE,Cultural festivals,9,11460634407,Дом Теленкова Ф.А.,node,Санкт-Петербург,1
LaBSE,Cultural festivals,10,9807346712,История района Митино,node,Москва,1
LaBSE,Photography spots,1,10814464548,Северное сияние,node,Санкт-Петербург,1
LaBSE,Photography spots,2,12163482998,Поиск равновесия,node,Москва,1
LaBSE,Photography spots,3,9961754793,Волшебная миля,node,Санкт-Петербург,1
LaBSE,Photography spots,4,10247274522,Информационно-туристский центр Ленинградской области,node,Санкт-Петербург,1
LaBSE,Photography spots,5,6512738385,Поцелуй – это печать любви!,node,Екатеринбург,1
LaBSE,Photography spots,6,1518859160,Вид с площадки у Руинного каскада,node,Санкт-Петербург,1
LaBSE,Photography spots,7,10007160197,Как не допустить пожар в лесу,node,Санкт-Петербург,0
LaBSE,Photography spots,8,11922563549,Красивейшее место,node,Екатеринбург,1
LaBSE,Photography spots,9,4934341840,Загадай желание,node,Санкт-Петербург,1
LaBSE,Photography spots,10,3622320006,Человек-птица,node,Москва,1
LaBSE,Local craft markets,1,4804794308,"Культурно-деловой центр молодёжи ""Марьино""",node,Москва,0
LaBSE,Local craft markets,2,1964076402,Областной Рынок на Громова,node,Екатеринбург,1
LaBSE,Local craft markets,3,11834886304,Твоё хобби,node,Казань,1
LaBSE,Local craft markets,4,6061758293,Матрёна,node,Санкт-Петербург,1
LaBSE,Local craft markets,5,9945675934,Ярмарка выходного дня,node,Москва,1
LaBSE,Local craft markets,6,6643679684,Ярмарка ремесленной слободы,node,Санкт-Петербург,1
LaBSE,Local craft markets,7,12723197135,Молодость,node,Нижний Новгород,0
LaBSE,Local craft markets,8,7814389885,Выставка ParcArt,node,Санкт-Петербург,1
LaBSE,Local craft markets,9,6142239203,Ярмарка выходного дня,node,Москва,1
LaBSE,Local craft markets,10,4223734917,Винный базар,node,Москва,1
LaBSE,Quiet cafes with wifi,1,1811928392,Летнее кафе,node,Екатеринбург,1
LaBSE,Quiet cafes with wifi,2,9809185564,Шаверма от Души,node,Санкт-Петербург,1
LaBSE,Quiet cafes with wifi,3,4386808374,Вокруг Света,node,Нижний Новгород,1
LaBSE,Quiet cafes with wifi,4,3392676568,Убежище,node,Москва,1
LaBSE,Quiet cafes with wifi,5,2754524800,ГеймХаус,node,Екатеринбург,1
LaBSE,Quiet cafes with wifi,6,11083605370,F5,node,Москва,0
LaBSE,Quiet cafes with wifi,7,3630806893,Зеленая дверь,node,Москва,0
LaBSE,Quiet cafes with wifi,8,10593537658,Йоттунхейм,node,Санкт-Петербург,0
LaBSE,Quiet cafes with wifi,9,665493772,фонбет,node,Екатеринбург,0
LaBSE,Quiet cafes with wifi,10,12356155628,F13,node,Санкт-Петербург,0
LaBSE,Hiking trails,1,12148711294,"Веломаршрут ""Зелёное кольцо""",node,Москва,1
LaBSE,Hiking trails,2,12736660549,"Веломаршрут ""Зелёное кольцо""",node,Москва,1
LaBSE,Hiking trails,3,12736673776,"Веломаршрут ""Зелёное кольцо""",node,Москва,1
LaBSE,Hiking trails,4,12736724474,"Веломаршрут ""Зелёное кольцо""",node,Москва,1
LaBSE,Hiking trails,5,12557504755,Улица Юности,node,Москва,1
LaBSE,Hiking trails,6,8002372982,Калиновка Trail bike park,node,Екатеринбург,1
LaBSE,Hiking trails,7,12069838895,Переход Суворова через Альпы в 1799 году,node,Санкт-Петербург,0
LaBSE,Hiking trails,8,9961754793,Волшебная миля,node,Санкт-Петербург,1
LaBSE,Hiking trails,9,12288923397,Улица Вострухина,node,Москва,1
LaBSE,Hiking trails,10,12191291676,Уральская улица,node,Москва,1
LaBSE,Cycling routes,1,12148711294,"Веломаршрут ""Зелёное кольцо""",node,Москва,1
LaBSE,Cycling routes,2,12736660549,"Веломаршрут ""Зелёное кольцо""",node,Москва,1
LaBSE,Cycling routes,3,12736673776,"Веломаршрут ""Зелёное кольцо""",node,Москва,1
LaBSE,Cycling routes,4,12736724474,"Веломаршрут ""Зелёное кольцо""",node,Москва,1
LaBSE,Cycling routes,5,12557504755,Улица Юности,node,Москва,1
LaBSE,Cycling routes,6,12288923397,Улица Вострухина,node,Москва,1
LaBSE,Cycling routes,7,12716405171,Улица Миклухо-Маклая,node,Москва,1
LaBSE,Cycling routes,8,12716433307,Улица Миклухо-Маклая,node,Москва,1
LaBSE,Cycling routes,9,8002372982,Калиновка Trail bike park,node,Екатеринбург,1
LaBSE,Cycling routes,10,12557531658,Улица Хлобыстова,node,Москва,1
LaBSE,Artisanal bakeries,1,3573943000,Lucky Хлеб пекарня,node,Екатеринбург,1
LaBSE,Artisanal bakeries,2,10964057197,"О, пекарня!",node,Уфа,1
LaBSE,Artisanal bakeries,3,8979408791,"Пекарня ""Хлебница""",node,Екатеринбург,1
LaBSE,Artisanal bakeries,4,3054317183,Бисквитный Двор,node,Екатеринбург,0
LaBSE,Artisanal bakeries,5,4904629065,Выпечка,node,Санкт-Петербург,1
LaBSE,Artisanal bakeries,6,5324730921,"бистро ""Пышки""",node,Санкт-Петербург,1
LaBSE,Artisanal bakeries,7,7801432941,Брусника,node,Москва,1
LaBSE,Artisanal bakeries,8,7801432942,Брусника,node,Москва,1
LaBSE,Artisanal bakeries,9,4346901393,Брусника,node,Москва,1
LaBSE,Artisanal bakeries,10,3661245425,Брусника,node,Москва,1
LaBSE,Wine tasting rooms,1,4731801418,Винный базар,node,Москва,1
LaBSE,Wine tasting rooms,2,4288630770,Посторонним В.,node,Москва,0
LaBSE,Wine tasting rooms,3,4153679494,"Магнум-резерв, винотека",node,Екатеринбург,1
LaBSE,Wine tasting rooms,4,4977568534,Виниломания,node,Москва,1
LaBSE,Wine tasting rooms,5,8648992138,Вино и вкусности,node,Санкт-Петербург,1
LaBSE,Wine tasting rooms,6,5642207624,Волковская пивоварня,node,Москва,0
LaBSE,Wine tasting rooms,7,4223734917,Винный базар,node,Москва,1
LaBSE,Wine tasting rooms,8,8748386418,"Гастропаб ""Горьковская пивоварня""",node,Нижний Новгород,0
LaBSE,Wine tasting rooms,9,8065663369,Поехали,node,Екатеринбург,0
LaBSE,Wine tasting rooms,10,9786812750,Византия лаунж,node,Казань,1
LaBSE,Outdoor cinemas,1,446896004,Синема Парк,node,Санкт-Петербург,1
LaBSE,Outdoor cinemas,2,4779812989,Киномакс-Мозаика,node,Москва,1
LaBSE,Outdoor cinemas,3,11096369799,Кинопаркинг «Депо Три вокзала»,node,Москва,1
LaBSE,Outdoor cinemas,4,479731681,Синема Парк на Калужской,node,Москва,1
LaBSE,Outdoor cinemas,5,2475199888,Формула Кино,node,Санкт-Петербург,1
LaBSE,Outdoor cinemas,6,12146017591,Мираж,node,Санкт-Петербург,1
LaBSE,Outdoor cinemas,7,4324662691,Синема Стар Марьина Роща,node,Москва,1
LaBSE,Outdoor cinemas,8,2316668125,Синема 5,node,Уфа,1
LaBSE,Outdoor cinemas,9,12551459955,Кино Окко,node,Москва,1
LaBSE,Outdoor cinemas,10,1430908417,Синема Парк Starlight,node,Москва,1
LaBSE,Street art tours,1,5083895962,Рабочий Сезонник,node,Москва,1
LaBSE,Street art tours,2,12157273304,Дом-музей П. П. Чистякова,node,Санкт-Петербург,1
LaBSE,Street art tours,3,2468882311,Новая Третьяковка,node,Москва,1
LaBSE,Street art tours,4,9193049584,Я люблю Ясенево!,node,Москва,1
LaBSE,Street art tours,5,3517514902,Музей-квартира А. И. Куинджи,node,Санкт-Петербург,1
LaBSE,Street art tours,6,1253948759,"Ярмарка ""Московские сезоны""",node,Москва,1
LaBSE,Street art tours,7,11057578594,"Ярмарка ""Московские сезоны""",node,Москва,1
