model,query,rank,poi_id,name,type,city,relevant
MiniLM-6-L12,Quiet parks for reading,9,811034428,Библиотека,node,Москва,0
MiniLM-6-L12,Quiet parks for reading,10,826326301,Библиотека,node,Москва,0
MiniLM-6-L12,Local cuisine restaurants,1,4991154735,48/26,node,Санкт-Петербург,0
MiniLM-6-L12,Local cuisine restaurants,2,11637908181,Гаражане,node,Москва,0
MiniLM-6-L12,Local cuisine restaurants,3,2262897257,Пельмения,node,Санкт-Петербург,1
MiniLM-6-L12,Local cuisine restaurants,4,2523343458,Сценарио,node,Москва,0
MiniLM-6-L12,Local cuisine restaurants,5,7806292235,Eat Market,node,Москва,1
MiniLM-6-L12,Local cuisine restaurants,6,6477700651,Кухня на углях,node,Санкт-Петербург,1
MiniLM-6-L12,Local cuisine restaurants,7,1968211431,Жаровня,node,Казань,1
MiniLM-6-L12,Local cuisine restaurants,8,5366771104,Горячая Сковородка,node,Москва,1
MiniLM-6-L12,Local cuisine restaurants,9,5335838828,Замечательные люди,node,Москва,0
MiniLM-6-L12,Local cuisine restaurants,10,5183649121,Мясо&Паста,node,Москва,1
MiniLM-6-L12,Cozy cafes for work,1,7130832895,Свежий номер,node,Москва,0
MiniLM-6-L12,Cozy cafes for work,2,9952531539,А помнишь?,node,Екатеринбург,0
MiniLM-6-L12,Cozy cafes for work,3,4710009319,Точка,node,Санкт-Петербург,1
MiniLM-6-L12,Cozy cafes for work,4,2851923861,Сыто-место,node,Екатеринбург,1
MiniLM-6-L12,Cozy cafes for work,5,3655147810,Самовар,node,Екатеринбург,1
MiniLM-6-L12,Cozy cafes for work,6,5216025022,Сити,node,Санкт-Петербург,1
MiniLM-6-L12,Cozy cafes for work,7,7503476011,Фарфор,node,Москва,0
MiniLM-6-L12,Cozy cafes for work,8,10788451874,Ворлд,node,Санкт-Петербург,0
MiniLM-6-L12,Cozy cafes for work,9,7981252167,Фарфор,node,Москва,0
MiniLM-6-L12,Cozy cafes for work,10,9993649701,Местные,node,Москва,0
MiniLM-6-L12,Scenic walking routes,1,3174801445,Большой каскад,node,Санкт-Петербург,0
MiniLM-6-L12,Scenic walking routes,2,5026362355,Северные ландшафты,node,Москва,1
MiniLM-6-L12,Scenic walking routes,3,7945522685,Тропа Здоровья,node,Екатеринбург,1
MiniLM-6-L12,Scenic walking routes,4,9449058216,Ореховские склоны,node,Москва,1
MiniLM-6-L12,Scenic walking routes,5,10951280810,Природные,node,Санкт-Петербург,1
MiniLM-6-L12,Scenic walking routes,6,9738588172,Грибной холм,node,Казань,1
MiniLM-6-L12,Scenic walking routes,7,4359230240,Рождественская дорожка,node,Санкт-Петербург,1
MiniLM-6-L12,Scenic walking routes,8,7685479400,Двойной холм,node,Казань,1
MiniLM-6-L12,Scenic walking routes,9,9738588208,Двойной холм,node,Казань,1
MiniLM-6-L12,Scenic walking routes,10,1097831097,Подвесной мост,node,Уфа,1
MiniLM-6-L12,Architectural landmarks,1,1966938680,Испанский ДОТ DP-1,node,Санкт-Петербург,1
MiniLM-6-L12,Architectural landmarks,2,5762525942,Памятник поребрику и бордюру,node,Санкт-Петербург,1
MiniLM-6-L12,Architectural landmarks,3,5866482337,Немецкая слобода 16 век,node,Москва,1
MiniLM-6-L12,Architectural landmarks,4,5546742968,Winckelmann,node,Санкт-Петербург,0
MiniLM-6-L12,Architectural landmarks,5,4685031864,телеграф Сахарова,node,Уфа,0
MiniLM-6-L12,Architectural landmarks,6,4558783254,Грот Растрелли,node,Москва,0
MiniLM-6-L12,Architectural landmarks,7,11529307739,Здание электростанции Варшавского вокзала (1898-1899),node,Санкт-Петербург,1
MiniLM-6-L12,Architectural landmarks,8,11635717760,Ф.А. Гетье,node,Москва,1
MiniLM-6-L12,Architectural landmarks,9,2469357472,Концертный зал «У Финляндского»,node,Санкт-Петербург,1
MiniLM-6-L12,Architectural landmarks,10,2574411372,№31 Памятник группе «The Beatles»,node,Екатеринбург,1
MiniLM-6-L12,Family-friendly attractions,1,11447057136,Happy City,node,Санкт-Петербург,1
MiniLM-6-L12,Family-friendly attractions,2,12058949502,Дети на качелях,node,Уфа,1
MiniLM-6-L12,Family-friendly attractions,3,5441921796,Idol,node,Санкт-Петербург,0
MiniLM-6-L12,Family-friendly attractions,4,9611079576,Rich family,node,Казань,1
MiniLM-6-L12,Family-friendly attractions,5,4943521387,Бэби-сад,node,Екатеринбург,1
MiniLM-6-L12,Family-friendly attractions,6,5057521225,Космик,node,Москва,0
MiniLM-6-L12,Family-friendly attractions,7,8752581953,Fiji Kids,node,Москва,1
MiniLM-6-L12,Family-friendly attractions,8,3440838251,Карусель,node,Екатеринбург,1
MiniLM-6-L12,Family-friendly attractions,9,11196172823,BabyHall27,node,Уфа,1
MiniLM-6-L12,Family-friendly attractions,10,3668045419,Baby Boom,node,Екатеринбург,1
MiniLM-6-L12,Outdoor sports facilities,1,1660865900,Премьер Спорт,node,Москва,1
MiniLM-6-L12,Outdoor sports facilities,2,9831603116,Спортивная площадка,node,Москва,1
MiniLM-6-L12,Outdoor sports facilities,3,12713883740,Спортивная площадка,node,Нижний Новгород,1
MiniLM-6-L12,Outdoor sports facilities,4,2941193745,Южный,node,Москва,0
MiniLM-6-L12,Outdoor sports facilities,5,4085902639,Fly Park,node,Уфа,1
MiniLM-6-L12,Outdoor sports facilities,6,7942484169,Поляна,node,Екатеринбург,0
MiniLM-6-L12,Outdoor sports facilities,7,4674438792,ССК Дендра,node,Москва,0
MiniLM-6-L12,Outdoor sports facilities,8,11105685057,Спортмастер,node,Нижний Новгород,0
MiniLM-6-L12,Outdoor sports facilities,9,11648462761,Tennis markt,node,Уфа,0
MiniLM-6-L12,Outdoor sports facilities,10,7760323775,to Sport,node,Екатеринбург,1
MiniLM-6-L12,Live music venues,1,8872812191,Live Sound,node,Санкт-Петербург,1
MiniLM-6-L12,Live music venues,2,4415983679,Music Hall 27,node,Уфа,1
MiniLM-6-L12,Live music venues,3,1322303836,Дом музыки,node,Екатеринбург,1
MiniLM-6-L12,Live music venues,4,6387808396,Народный музей музыкальных инструментов,node,Москва,0
MiniLM-6-L12,Live music venues,5,9717870634,Musicmag,node,Санкт-Петербург,1
MiniLM-6-L12,Live music venues,6,3011885497,Рекорд 2 В,node,Москва,0
MiniLM-6-L12,Live music venues,7,12914359072,Эта музыка будет вечной,node,Екатеринбург,1
MiniLM-6-L12,Live music venues,8,5481445914,Музыка рядом,node,Москва,1
MiniLM-6-L12,Live music venues,9,5611463521,Ритм,node,Санкт-Петербург,1
MiniLM-6-L12,Live music venues,10,5438840079,Imagine Club,node,Санкт-Петербург,0
MiniLM-6-L12,Nightlife bars,1,12525412501,Чёрт побери!,node,Санкт-Петербург,1
MiniLM-6-L12,Nightlife bars,2,4217909889,Настоятель,node,Санкт-Петербург,1
MiniLM-6-L12,Nightlife bars,3,2273350101,Три толстяка,node,Екатеринбург,0
MiniLM-6-L12,Nightlife bars,4,6918453209,True Cost,node,Москва,0
MiniLM-6-L12,Nightlife bars,5,811008186,Ворон и ворон,node,Санкт-Петербург,0
MiniLM-6-L12,Nightlife bars,6,11845024284,Огонёк,node,Санкт-Петербург,1
MiniLM-6-L12,Nightlife bars,7,8370776387,Бесы,node,Екатеринбург,1
MiniLM-6-L12,Nightlife bars,8,3573306105,Жига Дрыга,node,Москва,1
MiniLM-6-L12,Nightlife bars,9,11301408976,Обормоты,node,Санкт-Петербург,1
MiniLM-6-L12,Nightlife bars,10,6168057559,Дело не в вине,node,Москва,0
MiniLM-6-L12,Street food markets,1,9394367238,Eat Market,node,Москва,1
MiniLM-6-L12,Street food markets,2,7926404085,Extra Spices,node,Санкт-Петербург,0
MiniLM-6-L12,Street food markets,3,991669665,Аквамарин,node,Екатеринбург,0
MiniLM-6-L12,Street food markets,4,9760887003,Фермер,node,Санкт-Петербург,1
MiniLM-6-L12,Street food markets,5,4854227248,Рынок выходного дня,node,Москва,1
MiniLM-6-L12,Street food markets,6,7124813600,Продуктовые лавки,node,Санкт-Петербург,1
MiniLM-6-L12,Street food markets,7,1781489052,Павильоны овощи-фрукты №№7-14,node,Уфа,1
MiniLM-6-L12,Street food markets,8,9280871717,Фермерский,node,Москва,1
MiniLM-6-L12,Street food markets,9,4825139621,Фермерский магазин,node,Москва,1
MiniLM-6-L12,Street food markets,10,3487380419,Ваш фермер,node,Москва,1
MiniLM-6-L12,Boat tours,1,4691413293,Подводная лодка,node,Уфа,1
MiniLM-6-L12,Boat tours,2,1261403409,Моряк-Балтиец,node,Санкт-Петербург,1
MiniLM-6-L12,Boat tours,3,4143394804,Корабль-призрак,node,Москва,1
MiniLM-6-L12,Boat tours,4,7650288586,Якорь,node,Санкт-Петербург,1
MiniLM-6-L12,Boat tours,5,7677808945,Якорь,node,Санкт-Петербург,1
MiniLM-6-L12,Boat tours,6,7677808946,Якорь,node,Санкт-Петербург,1
MiniLM-6-L12,Boat tours,7,7677808952,Якорь,node,Санкт-Петербург,1
MiniLM-6-L12,Boat tours,8,7677808953,Якорь,node,Санкт-Петербург,1
MiniLM-6-L12,Boat tours,9,11145998397,Яхт-клуб Фрегат,node,Нижний Новгород,1
MiniLM-6-L12,Boat tours,10,8071342317,Якорь,node,Санкт-Петербург,1
MiniLM-6-L12,Modern art installations,1,9781589032,Игорь Нетто,node,Казань,0
MiniLM-6-L12,Modern art installations,2,11013410901,ArtTerria,node,Уфа,1
MiniLM-6-L12,Modern art installations,3,9937608518,«Крыло»,node,Санкт-Петербург,1
MiniLM-6-L12,Modern art installations,4,5259677323,Art of Foto,node,Санкт-Петербург,1
MiniLM-6-L12,Modern art installations,5,800277882,Era,node,Санкт-Петербург,0
MiniLM-6-L12,Modern art installations,6,12698325515,Печатные машины,node,Санкт-Петербург,0
MiniLM-6-L12,Modern art installations,7,2896320991,Человек сидящий в Интернете,node,Санкт-Петербург,0
MiniLM-6-L12,Modern art installations,8,3628161894,Brusov Art Space,node,Москва,1
MiniLM-6-L12,Modern art installations,9,6557934688,Тайны Вселенной,node,Нижний Новгород,0
MiniLM-6-L12,Modern art installations,10,12233205876,In Artibus,node,Москва,1
MiniLM-6-L12,Botanical gardens,1,1763155740,Ботанический сад,node,Санкт-Петербург,1
MiniLM-6-L12,Botanical gardens,2,4912277772,Флора,node,Санкт-Петербург,1
MiniLM-6-L12,Botanical gardens,3,11923913770,Первоцветы и орхидеи,node,Санкт-Петербург,1
MiniLM-6-L12,Botanical gardens,4,1748594166,Гарден,node,Москва,1
MiniLM-6-L12,Botanical gardens,5,7072064084,Краснокнижные виды растений,node,Москва,1
MiniLM-6-L12,Botanical gardens,6,7165947150,Краснокнижные виды растений,node,Москва,1
MiniLM-6-L12,Botanical gardens,7,7165947157,Краснокнижные виды растений,node,Москва,1
MiniLM-6-L12,Botanical gardens,8,11064803105,Спирея иволистная,node,Санкт-Петербург,1
MiniLM-6-L12,Botanical gardens,9,11064803805,Спирея иволистная,node,Санкт-Петербург,1
MiniLM-6-L12,Botanical gardens,10,930349289,Garden,node,Нижний Новгород,1
MiniLM-6-L12,Museums with interactive exhibits,1,7794915044,Movie Art,node,Санкт-Петербург,1
MiniLM-6-L12,Museums with interactive exhibits,2,12889776701,СВОи,node,Казань,0
MiniLM-6-L12,Museums with interactive exhibits,3,12104690801,Музей живой бумаги,node,Нижний Новгород,1
MiniLM-6-L12,Museums with interactive exhibits,4,1808680312,Зоологический музей,node,Нижний Новгород,1
MiniLM-6-L12,Museums with interactive exhibits,5,612042411,Электромузей,node,Москва,1
MiniLM-6-L12,Museums with interactive exhibits,6,3345679795,Музей музыки,node,Санкт-Петербург,1
MiniLM-6-L12,Museums with interactive exhibits,7,11691784146,Военный с ребёнком,node,Москва,1
MiniLM-6-L12,Museums with interactive exhibits,8,11146567206,Выставочный пакгауз,node,Нижний Новгород,1
MiniLM-6-L12,Museums with interactive exhibits,9,9128493459,Живой музей ремёсел,node,Нижний Новгород,1
MiniLM-6-L12,Museums with interactive exhibits,10,4170316442,Музей истории Кронштадта,node,Санкт-Петербург,1
MiniLM-6-L12,Historic cathedrals,1,12065455201,Всех скорбящих Радость,node,Екатеринбург,1
MiniLM-6-L12,Historic cathedrals,2,2333064981,Первая Объединенная Методистская церковь,node,Екатеринбург,1
MiniLM-6-L12,Historic cathedrals,3,11366280871,Место старообрядческого храма успения,node,Санкт-Петербург,1
MiniLM-6-L12,Historic cathedrals,4,2328204167,Храм во имя святых Божиих строителей,node,Екатеринбург,1
MiniLM-6-L12,Historic cathedrals,5,10810718709,Разрушенный ЖБОТ Пг-5 КрУР,node,Санкт-Петербург,0
MiniLM-6-L12,Historic cathedrals,6,12626382862,Здание Свято-Троицкой гарнизонной церкви,node,Санкт-Петербург,1
MiniLM-6-L12,Historic cathedrals,7,10658238005,Евангелическо-лютеранская церковь Марии Магдалины,node,Санкт-Петербург,1
MiniLM-6-L12,Historic cathedrals,8,1574242293,Обыденный храм в честь блаженной Матроны Московской,node,Уфа,1
MiniLM-6-L12,Historic cathedrals,9,6815048785,Изначальное место нахождения церкви,node,Санкт-Петербург,1
MiniLM-6-L12,Historic cathedrals,10,8648992140,"Часовня иконы Божией Матери ""Благодатное Небо""",node,Санкт-Петербург,1
MiniLM-6-L12,Science museums,1,3454298446,Экспериментаниум,node,Москва,0
MiniLM-6-L12,Science museums,2,612042411,Электромузей,node,Москва,1
MiniLM-6-L12,Science museums,3,9128493459,Живой музей ремёсел,node,Нижний Новгород,1
MiniLM-6-L12,Science museums,4,1438259722,Музей истории религии,node,Санкт-Петербург,1
MiniLM-6-L12,Science museums,5,10040891508,Метрологический музей,node,Санкт-Петербург,1
MiniLM-6-L12,Science museums,6,10837414697,Музей истории города Уфы,node,Уфа,1
MiniLM-6-L12,Science museums,7,6503581600,Электробезопасность,node,Нижний Новгород,0
MiniLM-6-L12,Science museums,8,7794915044,Movie Art,node,Санкт-Петербург,0
MiniLM-6-L12,Science museums,9,2758278217,Музей книги,node,Москва,1
MiniLM-6-L12,Science museums,10,1808680312,Зоологический музей,node,Нижний Новгород,1
MiniLM-6-L12,Children's playgrounds,1,5956646988,качельки,node,Екатеринбург,1
MiniLM-6-L12,Children's playgrounds,2,12677212705,Правила пользования детской игровой площадкой,node,Москва,0
MiniLM-6-L12,Children's playgrounds,3,3762189735,паутина-батут,node,Москва,1
MiniLM-6-L12,Children's playgrounds,4,1094635178,Детский городок,node,Москва,1
MiniLM-6-L12,Children's playgrounds,5,5141900754,Детский городок,node,Москва,1
MiniLM-6-L12,Children's playgrounds,6,1588247178,Галерея детства,node,Москва,1
MiniLM-6-L12,Children's playgrounds,7,11196172823,BabyHall27,node,Уфа,1
MiniLM-6-L12,Children's playgrounds,8,9630948438,"Детская лазалка ""Паутинка""",node,Екатеринбург,1
MiniLM-6-L12,Children's playgrounds,9,3440838251,Карусель,node,Екатеринбург,1
MiniLM-6-L12,Children's playgrounds,10,11016563663,КидБург,node,Санкт-Петербург,1
MiniLM-6-L12,Rooftop bars,1,5263894121,Крыша,node,Санкт-Петербург,1
MiniLM-6-L12,Rooftop bars,2,9969318733,Балкон,node,Санкт-Петербург,1
MiniLM-6-L12,Rooftop bars,3,5757244721,Hi Hat Rooftop,node,Санкт-Петербург,1
MiniLM-6-L12,Rooftop bars,4,6710263885,Roof place,node,Санкт-Петербург,1
MiniLM-6-L12,Rooftop bars,5,6680039790,High,node,Москва,1
MiniLM-6-L12,Rooftop bars,6,12779129850,Levitan,node,Санкт-Петербург,1
MiniLM-6-L12,Rooftop bars,7,6055695092,SkyLounge Vnukovo,node,Москва,1
MiniLM-6-L12,Rooftop bars,8,4376349001,Барбарис,node,Москва,0
MiniLM-6-L12,Rooftop bars,9,12484062929,The garden grille & bar,node,Уфа,0
MiniLM-6-L12,Rooftop bars,10,4856126526,Торнадо,node,Москва,0
MiniLM-6-L12,Photography spots,1,4142927947,Вечером,node,Москва,0
MiniLM-6-L12,Photography spots,2,965442926,Сидящий мальчик,node,Санкт-Петербург,0
MiniLM-6-L12,Photography spots,3,5182200954,73 улица,node,Москва,0
MiniLM-6-L12,Photography spots,4,3595282956,Полдень,node,Санкт-Петербург,0
MiniLM-6-L12,Photography spots,5,2320185872,Скамейка ремёсел,node,Москва,0
MiniLM-6-L12,Photography spots,6,10747680827,Скамейка ремёсел,node,Москва,0
MiniLM-6-L12,Photography spots,7,10747680828,Скамейка ремёсел,node,Москва,0
MiniLM-6-L12,Photography spots,8,10747680829,Скамейка ремёсел,node,Москва,0
MiniLM-6-L12,Photography spots,9,11725712430,Солнце,node,Санкт-Петербург,1
MiniLM-6-L12,Photography spots,10,8140103038,Солнце,node,Санкт-Петербург,1
MiniLM-6-L12,Local craft markets,1,4547727135,Арт-Клуб,node,Санкт-Петербург,1
MiniLM-6-L12,Local craft markets,2,8806556218,Восточный базар,node,Казань,1
MiniLM-6-L12,Local craft markets,3,4566906100,Carre d'artistes,node,Москва,0
MiniLM-6-L12,Local craft markets,4,11972292226,Стройдвор,node,Казань,0
MiniLM-6-L12,Local craft markets,5,986600702,Палитра,node,Санкт-Петербург,0
MiniLM-6-L12,Local craft markets,6,5865735004,Единый центр антиквариата,node,Санкт-Петербург,0
MiniLM-6-L12,Local craft markets,7,10844194425,Художник,node,Уфа,0
MiniLM-6-L12,Local craft markets,8,8224219785,Рукоделие,node,Москва,0
MiniLM-6-L12,Local craft markets,9,10181865544,Всё связано,node,Санкт-Петербург,0
MiniLM-6-L12,Local craft markets,10,9642670698,Торговка,node,Нижний Новгород,0
MiniLM-6-L12,Quiet cafes with wifi,1,7200259185,WTF?!,node,Москва,0
MiniLM-6-L12,Quiet cafes with wifi,2,10971690144,Совиный Дом,node,Москва,0
MiniLM-6-L12,Quiet cafes with wifi,3,1526908084,Тихая гавань,node,Казань,0
MiniLM-6-L12,Quiet cafes with wifi,4,8839206210,Пахвала,node,Санкт-Петербург,0
MiniLM-6-L12,Quiet cafes with wifi,5,6580613996,Михайловское,node,Санкт-Петербург,0
MiniLM-6-L12,Quiet cafes with wifi,6,12084582211,Bylyar,node,Казань,1
MiniLM-6-L12,Quiet cafes with wifi,7,9917429925,GreenLight,node,Санкт-Петербург,0
MiniLM-6-L12,Quiet cafes with wifi,8,1422754876,Vпите,node,Санкт-Петербург,0
MiniLM-6-L12,Quiet cafes with wifi,9,11766349260,Trongeameszone,node,Санкт-Петербург,0
MiniLM-6-L12,Quiet cafes with wifi,10,5412825028,Теккен Арена,node,Екатеринбург,0
MiniLM-6-L12,Hiking trails,1,7945522685,Тропа Здоровья,node,Екатеринбург,1
MiniLM-6-L12,Hiking trails,2,11737471485,Лыжная трасса,node,Москва,1
MiniLM-6-L12,Hiking trails,3,11737471489,Лыжная трасса,node,Москва,1
MiniLM-6-L12,Hiking trails,4,11737471494,Лыжная трасса,node,Москва,1
MiniLM-6-L12,Hiking trails,5,11737471513,Лыжная трасса,node,Москва,1
MiniLM-6-L12,Hiking trails,6,8380584636,Маунтинбайк - Карьер,node,Екатеринбург,1
MiniLM-6-L12,Hiking trails,7,4359230250,Гельсингфорсская дорожка,node,Санкт-Петербург,1
MiniLM-6-L12,Hiking trails,8,9449058216,Ореховские склоны,node,Москва,1
MiniLM-6-L12,Hiking trails,9,7685479400,Двойной холм,node,Казань,1
MiniLM-6-L12,Hiking trails,10,9738588208,Двойной холм,node,Казань,1
MiniLM-6-L12,Cycling routes,1,7945522685,Тропа Здоровья,node,Екатеринбург,1
MiniLM-6-L12,Cycling routes,2,8380584636,Маунтинбайк - Карьер,node,Екатеринбург,1
MiniLM-6-L12,Cycling routes,3,9008189292,Нулевой километр,node,Санкт-Петербург,1
MiniLM-6-L12,Cycling routes,4,6237825415,Компас Здоровья,node,Санкт-Петербург,1
MiniLM-6-L12,Cycling routes,5,1097831097,Подвесной мост,node,Уфа,1
MiniLM-6-L12,Cycling routes,6,6774445037,КСК Награда,node,Москва,0
MiniLM-6-L12,Cycling routes,7,11835034882,Лыжные гонки,node,Москва,1
MiniLM-6-L12,Cycling routes,8,10951298607,Календарь жизни птиц западной части о. Котлин,node,Санкт-Петербург,0
MiniLM-6-L12,Cycling routes,9,954681580,Лыжная база Локомотив,node,Екатеринбург,0
MiniLM-6-L12,Cycling routes,10,3174801445,Большой каскад,node,Санкт-Петербург,1
MiniLM-6-L12,Wine tasting rooms,1,5694957121,WineState,node,Москва,1
MiniLM-6-L12,Wine tasting rooms,2,12144357987,Winestyle,node,Уфа,1
MiniLM-6-L12,Wine tasting rooms,3,12196597738,Smart Wine,node,Екатеринбург,1
MiniLM-6-L12,Wine tasting rooms,4,4027973865,13°,node,Москва,1
MiniLM-6-L12,Wine tasting rooms,5,10771845826,Only wine,node,Москва,1
MiniLM-6-L12,Wine tasting rooms,6,10634683400,Wine place,node,Москва,1
MiniLM-6-L12,Wine tasting rooms,7,4153008896,Красное & Белое,node,Уфа,0
MiniLM-6-L12,Wine tasting rooms,8,6985840744,I Like Wine,node,Москва,1
MiniLM-6-L12,Wine tasting rooms,9,11401774629,Wine Circle,node,Москва,1
MiniLM-6-L12,Wine tasting rooms,10,10181865546,Nine Wines,node,Санкт-Петербург,1
MiniLM-6-L12,Outdoor cinemas,1,1467987273,Пять Залов,node,Москва,0
MiniLM-6-L12,Outdoor cinemas,2,3218033069,Москва,node,Москва,0
MiniLM-6-L12,Outdoor cinemas,3,4222561394,Sky Film,node,Санкт-Петербург,1
MiniLM-6-L12,Outdoor cinemas,4,1814750890,Синема парк,node,Нижний Новгород,1
MiniLM-6-L12,Outdoor cinemas,5,8044456360,Формула Кино Нео,node,Санкт-Петербург,1
MiniLM-6-L12,Outdoor cinemas,6,440956477,Кронверк-Синема Облака,node,Москва,1
MiniLM-6-L12,Outdoor cinemas,7,5074256993,Love cinema,node,Казань,1
MiniLM-6-L12,Outdoor cinemas,8,897401740,Формула кино,node,Санкт-Петербург,1
MiniLM-6-L12,Outdoor cinemas,9,6070567085,Out Cinema,node,Санкт-Петербург,1
MiniLM-6-L12,Outdoor cinemas,10,220548340,Юго-Западный,node,Екатеринбург,0
MiniLM-6-L12,Street art tours,1,12698325515,Печатные машины,node,Санкт-Петербург,0
MiniLM-6-L12,Street art tours,2,10845859070,Sare art,node,Москва,1
MiniLM-6-L12,Street art tours,3,8640564316,Краски жизни,node,Санкт-Петербург,1
MiniLM-6-L12,Street art tours,4,10969841018,Полёт,node,Санкт-Петербург,0
MiniLM-6-L12,Street art tours,5,5031345696,Arts square gallery,node,Санкт-Петербург,1
MiniLM-6-L12,Street art tours,6,8839210849,ArtGallery,node,Санкт-Петербург,1
MiniLM-6-L12,Street art tours,7,4563717291,AVart,node,Санкт-Петербург,1
MiniLM-6-L12,Street art tours,8,10018299378,Лето,node,Санкт-Петербург,1
MiniLM-6-L12,Street art tours,9,2033709816,Спорт,node,Москва,0
MiniLM-6-L12,Street art tours,10,5073205786,Выставочные залы на Арбате,node,Москва,1
MiniLM-6-L12,Antique shops,1,9793484954,Антиквариус,node,Санкт-Петербург,1
MiniLM-6-L12,Antique shops,2,1437398678,Антиквар,node,Москва,1
MiniLM-6-L12,Antique shops,3,9113816154,Антиквар,node,Москва,1
MiniLM-6-L12,Antique shops,4,9982088223,Антикварный домъ,node,Казань,1
MiniLM-6-L12,Antique shops,5,2606862089,Антикварная лавка в Калашном переулке,node,Москва,1
